source_id,ra,ra_error,dec,dec_error,pmra,pmra_error,pmdec,pmdec_error,parallax,parallax_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag
3439961941571177600,93.7758996495509,0.05111806586430916,32.798828092553755,0.04694338911406767,-2.5621994865186064,0.09188918218638241,-318.3114643157456,0.08082187437309203,20.205286648038026,0.06205247535307115,13.916809,15.303364,12.765508
20143916309954432,39.23778423444631,0.07300443369679427,8.60820690075631,0.06060575191354654,452.5853960139781,0.13730225438338683,114.37795762233588,0.1152966636806641,20.20967134722274,0.08387477566223468,14.810818,16.359665,13.598671
3201798652022303744,69.58477256726916,0.05055607036617128,-3.8647180068060805,0.035042067649265075,-59.82517005149532,0.11689465648797837,-279.28939518737934,0.08295721374030561,20.212091600102553,0.06734871483849206,15.414973,17.163042,14.149984
219295433795712640,59.776174377085546,0.07547891720293277,35.33294147555452,0.03450385586650617,-71.6359599807044,0.17434639020636278,4.522795028211549,0.09884052775759579,20.21504378062713,0.08737363292406031,15.7158575,17.503328,14.4371605
118831235296781824,51.06717575602882,0.04827403222469147,27.922445632235203,0.035017330449535575,117.4030177733811,0.11078062198588767,-105.40764447362554,0.08436132776176032,20.215992368348786,0.054487109597198505,13.637317,15.051071,12.470166
136316974871839488,43.499709054014595,0.1714777744939121,32.10987942755847,0.1266682316653214,92.48758833785566,0.38444100996676694,-100.22533573620845,0.26257449062829535,20.21962035654527,0.1755233280586888,17.45772,20.109426,15.975179
183406927588424576,82.81223379516072,0.230475711789929,36.18680656822795,0.22788562879539034,-88.7442128509057,0.4492796375743424,-49.78581657089775,0.39019133893021923,20.229625402421608,0.29989768144633805,16.195648,16.799889,14.450814
3312882483575093760,67.79636319390852,0.0625236896939335,16.39576593419968,0.027281758953080174,98.72487965689047,0.11267098485650816,-24.686772335662468,0.07539610403751217,20.22976698400599,0.07082930847923337,13.815214,15.35508,12.604157
3284783776732748928,63.14097392266077,0.13971009259104364,5.542145794184545,0.08664087655530239,176.1311643988716,0.2714678969555668,-96.78377386054055,0.22094624380275243,20.232092994633884,0.14582210264642545,16.62779,18.822548,15.250554
153045215359218048,67.81331596042573,1.0815144251977449,29.44080368186932,0.7396246496488731,-9.478449112578863,2.6861823649622556,7.331300420968615,1.848054267988875,20.240942498849925,1.3136638268203524,19.895456,20.527016,18.319767
3212375090591713920,75.60922112088869,0.24001054090718224,-4.900705271567198,0.20755509614060208,-173.14012549487194,0.5041069966410706,-246.62175683034891,0.40303603000108085,20.24346215017722,0.3078243617328801,18.770523,21.480045,17.178196
3294248609046258048,70.25765009963153,0.04086347642972381,10.994398367539194,0.0251252206334903,91.35439265341584,0.09368060517958375,-10.642604470570923,0.04968915195012495,20.24709753064152,0.05098235785734055,13.864185,13.669195,14.108288
182480554683264896,81.2563219188229,0.06667310720016845,33.50516253438546,0.052124015053507014,69.94635681135873,0.14077718426226324,-206.73924663529584,0.10075456266151314,20.25341402588727,0.07479489974770642,15.522487,17.319805,14.2414
47912529146793472,66.45406610512343,0.17752194665330745,18.879642311550374,0.08996323411162999,30.680384291830528,0.3347638852285337,-59.48083654868442,0.26132859820255505,20.253937653009718,0.1994601408592736,15.516225,17.555004,14.106525
3395516756700446464,77.82264422943481,0.06801280357981308,18.181966051054992,0.055349410749949236,3.418361985640326,0.12799315326976363,-61.16651050534282,0.0882851308689357,20.254173706815077,0.08461773094641534,14.568433,16.280897,13.304836
226877288024294656,61.88865363528479,0.04449826685573773,39.01447331303971,0.020220475547680385,-96.59197963171367,0.1012017752718357,54.163649003202494,0.06738382387852991,20.254602611144325,0.04902795213779041,14.713255,16.226215,13.516994
3410453489022728576,68.42661321954105,0.7138097322677233,19.013288102805394,0.285704636714048,102.45871081598861,1.2518101033658648,-31.725682802623787,0.5723807871160221,20.255969588945884,0.7921649516777306,18.441952,19.302774,16.640486
3232681661607732608,72.3591969352005,0.28180062357735625,2.3958687281269637,0.19539072182470335,1.456813423590789,0.6398668943969896,-72.40522806231965,0.41399909780115157,20.257346339630743,0.3436222653424406,19.105484,21.284325,17.498463
49131681384221184,65.4353548071915,0.14173556459045492,20.4027592804136,0.06746260987704794,103.12720574515053,0.2915801683836666,-33.50505281211228,0.20798409072446294,20.25948411367759,0.16837390394118962,17.269058,19.721575,15.804496
3406965082223879168,73.17319228215352,0.05340627291917283,19.2346743184709,0.03603985403872878,58.91874216027819,0.10532863034237325,-11.632045700720722,0.06640290134894275,20.260146353551832,0.06360084383395685,14.37988,15.967404,13.150171
2501322540111676928,36.64584258396701,0.08325338537762107,1.0731132520749591,0.07043688767206667,-177.29244951159578,0.17335912639122852,-108.29266285780194,0.13876284401206637,20.262904262019145,0.0971127323521824,15.7605915,17.632784,14.457735
3254454671897381120,66.29837208701524,0.25892170632086786,-0.7523545180441226,0.18270227845283626,0.3066044138657182,0.5146198302115116,-78.3401210797414,0.33500580827953125,20.266748890209243,0.34787858748363293,18.605127,21.247694,17.047949
151374477375986176,67.4014633517733,0.07630031335099828,26.5729532956886,0.04659427239298805,98.03389649282744,0.1605085868339527,-55.09779613756008,0.1052978637290829,20.271669599257294,0.08525852617192774,14.61867,16.350843,13.357017
68230095278817792,54.89617357816765,0.11002463312584998,24.230006633308022,0.06156693119725533,56.6971792951022,0.26142096706257933,-95.11547943710531,0.14498741192807213,20.274632367255265,0.12690082140665682,15.752255,17.68639,14.43376
3219560192922170368,87.66007459382847,0.3531560889085934,0.6173045231569607,0.33321285797529626,50.92892185488603,0.7035127056679493,-63.55154615205853,0.6963318319046191,20.27666655712557,0.39768622356130406,18.865826,20.953018,17.246166
3410076150374417408,71.02830246994702,0.07699069793930631,19.035348686135595,0.04786900049521119,88.80621586197285,0.20315379581937154,-34.382419987619215,0.09831772615086065,20.276941353236097,0.09638608144421107,15.574697,17.468094,14.257571
3220036212735677696,86.74313798918715,0.2533508631804425,1.9917828810138503,0.2748733656473925,24.650582645245983,0.42076306330914176,-9.467053321975078,0.36140985215608273,20.2799757866894,0.3551931974793538,13.343962,14.42123,11.993777
3305847670741196544,68.67795126691175,0.04283587656196863,10.975920805672807,0.023532768797579665,6.050354534335142,0.09692214800158873,-84.46017507145727,0.048885815653110044,20.28394239513861,0.051949261233970534,13.646641,15.022722,12.494511
57680109412530944,52.97051198824105,0.08142924115883853,19.81819000748514,0.060970530433548525,37.64909140655857,0.16858899108898814,-41.38372065036945,0.12537247772598206,20.28475082370897,0.09930939042425412,14.946936,16.439972,13.680195
