source_id,hip,ref_epoch,ra,dec,pmra,pmdec,parallax,phot_g_mean_mag
1.41E+17,13438,2015,43.25789534,35.63630342,337.1577348,-188.4860219,20.3520072,8.090643641
3.23E+18,23296,2015,75.16581062,-2.066039397,-13.38614037,-2.180697268,20.35511177,6.23996579
3.31E+18,20827,2015,66.94641298,14.41767003,100.5072917,-19.2537767,20.38320688,9.137951778
2.61E+16,12155,2015,39.16182939,12.2077831,240.6752956,-64.48572917,20.38373988,10.95585003
3.45E+18,28502,2015,90.25579219,32.22434837,26.53793236,-172.782422,20.40641683,9.33821823
1.99E+17,23100,2015,74.55447532,40.05644367,60.33816455,-101.7745269,20.40956134,7.086780005
3.33E+18,26444,2015,84.40490743,6.111631014,93.01768228,-89.68962238,20.41404246,7.471323991
2.50E+18,12347,2015,39.74449682,-2.588086641,34.62274727,-179.2975544,20.42622042,8.889503086
3.31E+18,20357,2015,65.39542717,14.40970935,104.2298008,-19.13248689,20.44762218,6.476665354
3.40E+18,,2015,87.52188071,19.93815474,-17.70024618,-32.5431424,20.45246843,8.91719957
1.47E+17,22394,2015,72.30449705,24.80261973,84.70295744,-52.9166321,20.46616322,9.134032515
4.75E+16,20350,2015,65.38493717,18.41744922,110.610379,-31.86515586,20.46777577,6.669701999
4.28E+16,16538,2015,53.23961268,16.59802881,-24.07926029,-95.98468247,20.48481637,6.884697614
1.73E+16,,2015,48.66365827,12.26885678,148.1595056,-35.17638909,20.51961181,9.597197922
3.23E+18,23575,2015,76.02627868,-0.649655218,60.47679458,-143.7433975,20.55417582,8.356416667
3.31E+18,19781,2015,63.60734023,14.6249752,107.115824,-16.29920224,20.55807382,8.238166187
1.23E+17,14840,2015,47.9193871,31.25585568,228.4025626,-96.44445075,20.55883625,9.972600939
3.34E+17,,2015,37.71674643,37.90052894,-50.08859513,-12.11309536,20.56649111,8.463020194
3.41E+18,,2015,72.5033378,16.41194799,84.26684515,-26.9066392,20.57498386,10.08669496
3.25E+18,17183,2015,55.19919681,-2.333604636,374.3940559,-220.9066121,20.58808434,6.611876183
3.65E+16,,2015,56.84657142,11.4781252,52.32222654,235.9007995,20.63012219,10.57105275
